"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
1375,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN ARMY,,,319
1102,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GLIDERS INDIA LIMITED,,,319
1037,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE OF STANDARDISATION,,,319
369,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,AERONAUTICAL DEVELOPMENT AGENCY,,,319
1115,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GOA SHIPYARD LIMITED,,,319
1165,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN AERONAUTICS LIMITED (HAL),,,319
496,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT DYNAMICS LIMITED,,,319
696,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CONTROLLER GENERAL OF DEFENCE ACCOUNTS,,,319
1275,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIA OPTEL LIMITED,,,319
746,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DDP ESTABLISHMENT SECRETARIAT,,,319
1325,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN AIR FORCE,,,319
2272,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CEMENT CORPORATION OF INDIA LIMITED (CCI),,,2119
2374,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INSTRUMENTATION LIMITED,,,2119
2024,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,SAINIK SCHOOL SANGATHAN,,,319
1215,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN SHIPYARD LIMITED (HSL),,,319
